rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,1.3821966450758814,1.3821966450758814,1.0,3.0,7,7,0
2,0.8699943799688818,1.4093595637213636,4.0,2.0,7,8,0
3,0.9969405075383534,2.365750761702504,2.0,1.0,7,7,0
4,0.9482636154442444,1.000791988352765,3.0,4.0,7,7,0
5,0.7841821818485666,1.0004807843735841,5.0,5.0,7,7,0
