rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,2.9273892151628402,4.9845454545454535,1.0,1.0,7,7,0
2,2.271333885666943,2.2960636515912896,3.0,4.0,7,9,0
3,2.191446842525979,2.2979882648784575,4.0,3.0,7,7,0
4,1.463303976514545,1.4755113024757802,5.0,5.0,7,7,0
5,2.763608870967742,2.777608915906788,2.0,2.0,7,10,0
