rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,1.180018667499191,1.9145764851335594,3.0,1.0,7,10,0
2,1.3703168637652043,1.4487587033950504,2.0,4.0,7,8,0
3,0.9761788707857474,1.529244310671225,5.0,3.0,7,7,0
4,1.4093899286459455,1.7015234337929084,1.0,2.0,7,8,0
5,1.1173131385063426,1.1175007031984834,4.0,5.0,7,8,0
