rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,1.4370180202129068,1.4384530408558387,4.0,5.0,7,7,0
2,1.502728003870972,1.5117043596200916,2.0,3.0,7,7,0
3,1.3955802737593148,1.4816939099713826,5.0,4.0,7,7,0
4,1.512905349576037,1.5133533701657458,1.0,2.0,7,7,0
5,1.482493587083285,1.5529052667384773,3.0,1.0,7,10,0
