kernel,condition,branch_rank,successful_iteration,run_path,speedup,status,timing_rel_stddev
stencil3d,A,4,6,experiments/stencil3d-cuda/cond_A/workers/branch_4/out/run_005/run.json,2.751129,correct,0.0010401505494246207
stencil3d,A,4,7,experiments/stencil3d-cuda/cond_A/workers/branch_4/out/run_006/run.json,2.689063,correct,0.0011496117058391116
stencil3d,A,5,1,experiments/stencil3d-cuda/cond_A/workers/branch_5/out/latest/run.json,2.308632,correct,0.0007650089330660478
stencil3d,A,5,2,experiments/stencil3d-cuda/cond_A/workers/branch_5/out/run_001/run.json,2.281731,correct,0.0009026348317378119
stencil3d,A,5,3,experiments/stencil3d-cuda/cond_A/workers/branch_5/out/run_002/run.json,2.227051,correct,0.0008423968700572423
stencil3d,A,5,4,experiments/stencil3d-cuda/cond_A/workers/branch_5/out/run_003/run.json,2.273217,correct,0.0006811904786151673
stencil3d,A,5,5,experiments/stencil3d-cuda/cond_A/workers/branch_5/out/run_004/run.json,2.309604,correct,0.0008101838118807273
stencil3d,A,5,6,experiments/stencil3d-cuda/cond_A/workers/branch_5/out/run_005/run.json,2.308632,correct,0.0004801547313648912
stencil3d,A,5,7,experiments/stencil3d-cuda/cond_A/workers/branch_5/out/run_006/run.json,2.318393,correct,0.0005514933089587891
stencil3d,B,1,1,experiments/stencil3d-cuda/cond_B/workers/branch_1/out/latest/run.json,4.984545,correct,0.0004977485982416447
stencil3d,B,1,2,experiments/stencil3d-cuda/cond_B/workers/branch_1/out/run_001/run.json,2.927389,correct,0.00029249308848938764
stencil3d,B,1,3,experiments/stencil3d-cuda/cond_B/workers/branch_1/out/run_002/run.json,2.927389,correct,0.000696198462751281
stencil3d,B,1,4,experiments/stencil3d-cuda/cond_B/workers/branch_1/out/run_003/run.json,4.623103,correct,0.000377013653262442
stencil3d,B,1,5,experiments/stencil3d-cuda/cond_B/workers/branch_1/out/run_004/run.json,4.607563,correct,0.0003757465934295989
stencil3d,B,1,6,experiments/stencil3d-cuda/cond_B/workers/branch_1/out/run_005/run.json,4.623103,correct,0.0004616676985039665
stencil3d,B,1,7,experiments/stencil3d-cuda/cond_B/workers/branch_1/out/run_006/run.json,4.718589,correct,0.00047152424027653865
stencil3d,B,2,1,experiments/stencil3d-cuda/cond_B/workers/branch_2/out/run_001/run.json,2.271334,correct,0.00022693178550914095
stencil3d,B,2,2,experiments/stencil3d-cuda/cond_B/workers/branch_2/out/run_002/run.json,2.120263,correct,0.0009072370908748931
stencil3d,B,2,3,experiments/stencil3d-cuda/cond_B/workers/branch_2/out/run_004/run.json,2.287443,correct,0.000417188151856534
stencil3d,B,2,4,experiments/stencil3d-cuda/cond_B/workers/branch_2/out/run_005/run.json,2.128494,correct,0.0
stencil3d,B,2,5,experiments/stencil3d-cuda/cond_B/workers/branch_2/out/run_006/run.json,2.293183,correct,0.0005914736772785848
stencil3d,B,2,6,experiments/stencil3d-cuda/cond_B/workers/branch_2/out/run_007/run.json,2.296064,correct,0.001199047070034041
stencil3d,B,2,7,experiments/stencil3d-cuda/cond_B/workers/branch_2/out/run_008/run.json,2.268515,correct,0.0008968841382045299
stencil3d,B,3,1,experiments/stencil3d-cuda/cond_B/workers/branch_3/out/latest/run.json,2.297026,correct,0.0006214344299561206
stencil3d,B,3,2,experiments/stencil3d-cuda/cond_B/workers/branch_3/out/run_001/run.json,2.191447,correct,0.0008289271407630105
stencil3d,B,3,3,experiments/stencil3d-cuda/cond_B/workers/branch_3/out/run_002/run.json,2.202008,correct,0.0010238995007214697
stencil3d,B,3,4,experiments/stencil3d-cuda/cond_B/workers/branch_3/out/run_003/run.json,2.201124,correct,0.00033584618919957587
stencil3d,B,3,5,experiments/stencil3d-cuda/cond_B/workers/branch_3/out/run_004/run.json,2.213565,correct,0.0008370243542959083
stencil3d,B,3,6,experiments/stencil3d-cuda/cond_B/workers/branch_3/out/run_005/run.json,2.297988,correct,0.0006626734409405809
stencil3d,B,3,7,experiments/stencil3d-cuda/cond_B/workers/branch_3/out/run_006/run.json,2.254523,correct,0.0009379528011674791
stencil3d,B,4,1,experiments/stencil3d-cuda/cond_B/workers/branch_4/out/latest/run.json,1.474718,correct,0.0002250416984599373
stencil3d,B,4,2,experiments/stencil3d-cuda/cond_B/workers/branch_4/out/run_001/run.json,1.463304,correct,0.0003480434790028758
stencil3d,B,4,3,experiments/stencil3d-cuda/cond_B/workers/branch_4/out/run_002/run.json,1.474718,correct,0.0002406055821272575
stencil3d,B,4,4,experiments/stencil3d-cuda/cond_B/workers/branch_4/out/run_003/run.json,1.475511,correct,0.00026910656620018566
stencil3d,B,4,5,experiments/stencil3d-cuda/cond_B/workers/branch_4/out/run_004/run.json,1.474718,correct,0.0003066966389873056
stencil3d,B,4,6,experiments/stencil3d-cuda/cond_B/workers/branch_4/out/run_005/run.json,1.474718,correct,0.00035066442930472056
stencil3d,B,4,7,experiments/stencil3d-cuda/cond_B/workers/branch_4/out/run_006/run.json,1.475114,correct,0.0001902358840964406
stencil3d,B,5,1,experiments/stencil3d-cuda/cond_B/workers/branch_5/out/latest/run.json,2.777609,correct,0.0
stencil3d,B,5,2,experiments/stencil3d-cuda/cond_B/workers/branch_5/out/run_004/run.json,2.763609,correct,0.0002254328034580139
stencil3d,B,5,3,experiments/stencil3d-cuda/cond_B/workers/branch_5/out/run_005/run.json,2.760826,correct,0.00027584737988780585
stencil3d,B,5,4,experiments/stencil3d-cuda/cond_B/workers/branch_5/out/run_006/run.json,2.751129,correct,0.0
stencil3d,B,5,5,experiments/stencil3d-cuda/cond_B/workers/branch_5/out/run_007/run.json,2.105607,correct,0.0
stencil3d,B,5,6,experiments/stencil3d-cuda/cond_B/workers/branch_5/out/run_008/run.json,2.767794,correct,0.00022577423036147413
stencil3d,B,5,7,experiments/stencil3d-cuda/cond_B/workers/branch_5/out/run_009/run.json,2.749749,correct,0.00022425714346595594
