kernel,condition,branch_rank,planner_rank,actual_rank_short,actual_rank_long,speedup_iter1,peak_speedup_7,peak_minus_iter1,num_successful_iterations,num_attempts_total,attempt_statuses,condition_path,log_path,response_path
histogram,B,5,5,4.0,3.0,0.611451,1.025146,0.413695,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/histogram-cuda/cond_B,experiments/histogram-cuda/cond_B/workers/branch_5/LOG.md,experiments/histogram-cuda/cond_B/response.json
softmax,A,1,1,5.0,3.0,1.360243,1.652681,0.292438,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_A,experiments/softmax-cuda/cond_A/workers/branch_1/LOG.md,experiments/softmax-cuda/cond_A/response.json
softmax,A,2,2,4.0,4.0,1.515283,1.620417,0.105134,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_A,experiments/softmax-cuda/cond_A/workers/branch_2/LOG.md,experiments/softmax-cuda/cond_A/response.json
softmax,A,3,3,2.0,2.0,1.654745,1.655719,0.000973,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_A,experiments/softmax-cuda/cond_A/workers/branch_3/LOG.md,experiments/softmax-cuda/cond_A/response.json
softmax,A,4,4,3.0,5.0,1.533526,1.61946,0.085934,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_A,experiments/softmax-cuda/cond_A/workers/branch_4/LOG.md,experiments/softmax-cuda/cond_A/response.json
softmax,A,5,5,1.0,1.0,1.676265,1.677225,0.00096,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_A,experiments/softmax-cuda/cond_A/workers/branch_5/LOG.md,experiments/softmax-cuda/cond_A/response.json
softmax,B,1,1,4.0,5.0,1.437018,1.438453,0.001435,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_B,experiments/softmax-cuda/cond_B/workers/branch_1/LOG.md,experiments/softmax-cuda/cond_B/response.json
softmax,B,2,2,2.0,3.0,1.502728,1.511704,0.008976,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_B,experiments/softmax-cuda/cond_B/workers/branch_2/LOG.md,experiments/softmax-cuda/cond_B/response.json
softmax,B,3,3,5.0,4.0,1.39558,1.481694,0.086114,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_B,experiments/softmax-cuda/cond_B/workers/branch_3/LOG.md,experiments/softmax-cuda/cond_B/response.json
softmax,B,4,4,1.0,2.0,1.512905,1.513353,0.000448,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_B,experiments/softmax-cuda/cond_B/workers/branch_4/LOG.md,experiments/softmax-cuda/cond_B/response.json
softmax,B,5,5,3.0,1.0,1.482494,1.552905,0.070412,7,10,correctness_fail|correctness_fail|correctness_fail|correct|correct|correct|correct|correct|correct|correct,experiments/softmax-cuda/cond_B,experiments/softmax-cuda/cond_B/workers/branch_5/LOG.md,experiments/softmax-cuda/cond_B/response.json
stencil3d,A,1,1,4.0,5.0,2.197595,2.197595,0.0,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_A,experiments/stencil3d-cuda/cond_A/workers/branch_1/LOG.md,experiments/stencil3d-cuda/cond_A/response.json
stencil3d,A,2,2,5.0,4.0,2.14431,2.203778,0.059468,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_A,experiments/stencil3d-cuda/cond_A/workers/branch_2/LOG.md,experiments/stencil3d-cuda/cond_A/response.json
stencil3d,A,3,3,1.0,1.0,2.928953,2.932086,0.003133,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_A,experiments/stencil3d-cuda/cond_A/workers/branch_3/LOG.md,experiments/stencil3d-cuda/cond_A/response.json
stencil3d,A,4,4,2.0,2.0,2.666829,2.751129,0.0843,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_A,experiments/stencil3d-cuda/cond_A/workers/branch_4/LOG.md,experiments/stencil3d-cuda/cond_A/response.json
stencil3d,A,5,5,3.0,3.0,2.281731,2.318393,0.036662,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_A,experiments/stencil3d-cuda/cond_A/workers/branch_5/LOG.md,experiments/stencil3d-cuda/cond_A/response.json
stencil3d,B,1,1,1.0,1.0,2.927389,4.984545,2.057156,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_B,experiments/stencil3d-cuda/cond_B/workers/branch_1/LOG.md,experiments/stencil3d-cuda/cond_B/response.json
stencil3d,B,2,2,3.0,4.0,2.271334,2.296064,0.02473,7,9,correct|correct|compile_error|correct|correct|correct|correct|correct|iteration_limit,experiments/stencil3d-cuda/cond_B,experiments/stencil3d-cuda/cond_B/workers/branch_2/LOG.md,experiments/stencil3d-cuda/cond_B/response.json
stencil3d,B,3,3,4.0,3.0,2.191447,2.297988,0.106541,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_B,experiments/stencil3d-cuda/cond_B/workers/branch_3/LOG.md,experiments/stencil3d-cuda/cond_B/response.json
stencil3d,B,4,4,5.0,5.0,1.463304,1.475511,0.012207,7,7,correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_B,experiments/stencil3d-cuda/cond_B/workers/branch_4/LOG.md,experiments/stencil3d-cuda/cond_B/response.json
stencil3d,B,5,5,2.0,2.0,2.763609,2.777609,0.014,7,10,profile_error|profile_error|profile_error|correct|correct|correct|correct|correct|correct|correct,experiments/stencil3d-cuda/cond_B,experiments/stencil3d-cuda/cond_B/workers/branch_5/LOG.md,experiments/stencil3d-cuda/cond_B/response.json
