rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,2.1975951903807616,2.1975951903807616,4.0,5.0,7,7,0
2,2.1443097379741882,2.2037781350482315,5.0,4.0,7,7,0
3,2.9289529914529915,2.9320855614973262,1.0,1.0,7,7,0
4,2.666828793774319,2.7511289513296537,2.0,2.0,7,7,0
5,2.2817311693716187,2.3183932346723046,3.0,3.0,7,7,0
