rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,0.9682800109379273,0.9708589557792489,3.0,5.0,7,8,0
2,0.9981878221649485,1.5207681452849868,2.0,1.0,7,7,0
3,0.6108632969416172,1.0139076369288664,5.0,4.0,7,7,0
4,0.9988716502115655,1.051633432329232,1.0,3.0,7,8,0
5,0.6556366714278157,1.5193698663724409,4.0,2.0,7,12,0
