rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,1.0754045728665018,1.4643469014001298,1.0,2.0,7,7,0
2,0.5991250120854684,2.286201807784541,5.0,1.0,7,7,0
3,0.969567768433405,1.002223839560084,3.0,4.0,7,10,0
4,0.9947826784925954,1.0019807583474816,2.0,5.0,7,10,0
5,0.6114509842616804,1.0251457876669838,4.0,3.0,7,7,0
