rank,speedup_iter1,peak_speedup_7,actual_rank_short,actual_rank_long,num_successful_iterations,num_attempts_total,extra_successful_runs
1,1.3602426534560637,1.6526807488792754,5.0,3.0,7,7,0
2,1.5152825508896521,1.6204169117747973,4.0,4.0,7,7,0
3,1.6547454242084114,1.6557188457615981,2.0,2.0,7,7,0
4,1.5335264445551706,1.6194604166656814,3.0,5.0,7,7,0
5,1.6762648253659282,1.6772251217214087,1.0,1.0,7,7,0
